player_name,player_height,pts,reb,ast,label
Chris Jent,200.66,2.0,0.3,0.3,0
Chris Mills,200.66,13.4,6.2,2.5,3
Chris Morris,203.2,4.3,2.2,0.6,0
Chris Mullin,200.66,14.5,4.0,4.1,4
Chris Robinson,195.58,4.6,1.7,1.6,1
Chris Webber,208.28,20.1,10.3,4.6,2
Charlie Ward,187.96,5.2,2.8,4.1,1
Jerome Kersey,200.66,6.8,5.2,1.3,3
Fred Hoiberg,193.04,4.8,1.7,0.9,1
Jerry Stackhouse,198.12,20.7,4.2,3.1,4
Rumeal Robinson,187.96,3.3,0.9,1.4,1
Sam Cassell,190.5,15.9,3.0,5.0,4
Sam Mack,200.66,5.6,2.0,1.1,0
Sam Mitchell,200.66,9.3,4.0,1.0,3
Sam Perkins,205.74,11.0,3.7,1.3,3
Samaki Walker,205.74,4.9,3.4,0.4,0
Sarunas Marciulionis,195.58,6.8,1.8,1.5,1
Sasha Danilovic,198.12,12.5,2.4,1.8,1
Scott Brooks,180.34,1.5,0.5,0.8,1
Scott Burrell,200.66,5.2,2.8,1.3,0
Scott Williams,208.28,5.8,6.4,0.7,3
Ruben Nembhard,190.5,4.0,0.8,1.7,1
Scottie Pippen,200.66,20.2,6.5,5.7,4
Sean Rooks,208.28,3.8,2.4,0.6,0
Sedale Threatt,187.96,3.3,1.1,1.9,1
Shandon Anderson,198.12,5.9,2.8,0.8,0
Shane Heal,182.88,1.7,0.4,0.8,1
Shaquille O'Neal,215.9,26.2,12.5,3.1,2
Shareef Abdur-Rahim,205.74,18.7,6.9,2.2,2
Sharone Wright,210.82,6.5,3.1,0.5,0
Shawn Bradley,228.6,13.2,8.4,0.7,2
Shawn Kemp,208.28,18.7,10.0,1.9,2
Jerome Williams,205.74,1.5,1.5,0.2,0
Shawnelle Scott,210.82,1.3,1.0,0.0,0
Sean Elliott,203.2,14.9,4.9,3.2,3
Sherman Douglas,185.42,9.7,2.4,5.4,4
Roy Rogers,208.28,6.6,4.7,0.6,3
Ron Harper,198.12,6.3,2.5,2.5,1
Randolph Childress,187.96,1.7,0.3,0.7,1
Randy Brown,187.96,4.7,1.5,1.8,1
Randy Livingston,193.04,3.9,1.5,2.4,1
Rasheed Wallace,210.82,15.1,6.8,1.2,2
Ray Allen,195.58,13.4,4.0,2.6,3
Ray Owes,205.74,3.1,2.9,0.3,0
Reggie Geary,187.96,1.5,0.4,0.9,1
Reggie Jordan,193.04,2.1,1.4,0.6,0
Reggie Miller,200.66,21.6,3.5,3.4,4
Reggie Slater,200.66,7.8,3.7,0.8,3
Reggie Williams,201.0,5.8,2.4,0.8,0
Rony Seikaly,210.82,17.3,9.5,1.2,2
Rex Chapman,193.04,13.8,2.8,2.8,1
Richard Manning,210.82,2.9,1.5,0.1,0
Rick Fox,200.66,15.4,5.2,3.8,4
Rick Mahorn,208.28,2.5,2.4,0.3,0
Ricky Pierce,193.04,11.0,2.0,1.3,1
Rik Smits,223.52,17.1,6.9,1.3,2
Robert Horry,208.28,7.8,4.4,2.0,3
Robert Pack,187.96,14.3,2.7,8.4,4
Robert Parish,215.9,3.7,2.1,0.5,0
Robert Werdann,210.82,1.5,1.0,0.0,0
Rod Strickland,190.5,17.2,4.1,8.9,4
Rodney Rogers,200.66,13.2,5.1,2.7,3
Rex Walters,193.04,6.8,1.8,1.9,1
Rafael Addison,203.2,3.1,1.1,0.8,0
Stacey Augmon,203.2,4.7,2.3,0.9,0
Stanley Roberts,213.36,9.5,5.1,0.5,3
Tracy Moore,193.04,3.7,1.0,0.7,1
Tracy Murray,200.66,10.0,3.1,1.0,3
Travis Best,180.34,9.9,2.2,4.2,1
Travis Knight,213.36,4.8,4.5,0.5,3
Tyrone Corbin,198.12,9.5,4.2,1.8,3
Tyrone Hill,205.74,12.9,9.9,1.2,2
Tyus Edney,177.8,6.9,1.6,3.2,1
Vernon Maxwell,193.04,12.9,2.2,2.1,1
Vin Baker,210.82,21.0,10.3,2.7,2
Vincent Askew,198.12,5.6,2.3,2.1,1
Vinny Del Negro,193.04,12.3,2.9,3.2,1
Tony Smith,193.04,5.0,1.4,2.2,1
Vitaly Potapenko,208.28,5.8,2.7,0.5,0
Voshon Lenard,193.04,12.3,3.0,2.2,1
Walt Williams,203.2,16.4,5.0,2.7,3
Walter McCarty,208.28,1.8,0.7,0.4,0
Wayman Tisdale,205.74,6.5,2.3,0.4,0
Wesley Person,198.12,13.5,3.7,1.5,3
Will Perdue,213.36,8.7,9.8,0.6,2
Willie Anderson,203.2,3.0,1.5,1.2,0
Willie Burton,203.2,6.2,1.7,0.5,0
Xavier McDaniel,200.66,5.6,5.1,1.0,3
Yinka Dare,213.36,1.4,2.0,0.1,0
Zan Tabak,213.36,6.5,3.8,1.1,3
Vlade Divac,215.9,12.6,9.0,3.7,2
Stacey King,210.82,2.2,2.5,0.1,0
Tony Massenburg,205.74,7.2,6.5,0.3,3
Tony Delk,187.96,5.4,1.6,1.6,1
Stephen Howard,205.74,3.6,1.7,0.2,0
Stephon Marbury,187.96,15.8,2.7,7.8,4
Steve Hamer,213.36,2.2,1.7,0.2,0
Steve Kerr,190.5,8.1,1.6,2.1,1
Steve Nash,190.5,3.3,1.0,2.1,1
Steve Scheffler,205.74,1.6,0.4,0.0,0
Steven Smith,203.2,20.1,3.3,4.2,4
Stevin Smith,187.96,1.8,1.3,0.5,1
Stojko Vrankovic,218.44,3.4,3.2,0.3,0
Terrell Brandon,180.34,19.5,3.9,6.3,4
Terry Cummings,205.74,8.2,4.1,0.9,3
Tony Dumas,198.12,3.6,0.7,1.0,0
Terry Dehere,193.04,6.4,1.3,2.2,1
Terry Porter,190.5,6.9,2.1,3.6,1
Theo Ratliff,208.28,5.8,3.4,0.2,0
Tim Hardaway,182.88,20.3,3.4,8.6,4
Tim Kempton,208.28,0.4,0.8,0.2,0
Tim Legler,193.04,2.9,1.4,0.5,0
Todd Day,198.12,14.5,4.1,1.4,3
Todd Fuller,210.82,4.0,3.3,0.3,0
Tom Chambers,208.28,1.6,1.2,0.3,0
Tom Gugliotta,208.28,20.6,8.7,4.1,2
Tom Hammonds,205.74,6.2,5.0,0.8,3
Toni Kukoc,210.82,13.2,4.6,4.5,4
Terry Mills,208.28,10.8,4.8,1.3,3
Priest Lauderdale,223.52,3.2,1.2,0.3,0
Shawn Respert,187.96,4.2,1.0,1.0,1
Pooh Richardson,185.42,5.6,1.7,2.9,1
Kevin Duckworth,213.36,4.0,2.3,0.6,0
Kevin Edwards,190.5,5.9,1.3,1.8,1
Kevin Gamble,195.58,5.0,1.7,1.2,1
Kevin Garnett,210.82,17.0,8.0,3.1,2
Kevin Johnson,185.42,20.1,3.6,9.3,4
Kevin Salvadori,213.36,1.6,1.1,0.4,0
Kevin Willis,213.36,11.2,7.5,0.9,3
Khalid Reeves,190.5,8.2,1.9,3.6,1
Kobe Bryant,200.66,7.6,1.9,1.3,0
Kurt Thomas,205.74,6.3,5.9,0.5,3
LaPhonso Ellis,203.2,21.9,7.0,2.4,2
LaSalle Thompson,208.28,0.4,1.3,0.1,0
Lamond Murray,200.66,7.4,3.1,0.8,3
Larry Johnson,200.66,12.8,5.2,2.3,3
Larry Krystkowiak,205.74,1.0,1.7,1.0,0
Larry Stewart,203.2,4.3,2.4,0.7,0
Latrell Sprewell,195.58,24.2,4.6,6.3,4
